Animal,Two_cells,Blastocysts,GFP_positive,Egg_donor,Sperm_age,Male_genotype,Note
1,31,31,14,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
2,34,34,18,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
3,18,18,6,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
4,2,1,0,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
1,35,20,20,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
2,11,0,0,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
3,21,21,11,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
4,13,13,7,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
5,9,8,5,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
6,10,10,6,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
7,8,8,2,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
8,1,0,0,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
9,9,9,7,CBAB6,Fresh,XgYqdel,MALES RE-MATED AFTER 3 DAYS
1,32,31,24,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
2,0,0,0,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
3,38,37,21,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
4,27,22,17,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
1,22,22,11,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
2,32,32,16,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
3,60,60,33,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
4,6,6,1,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
5,8,8,3,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
6,7,7,1,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
7,14,13,3,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
8,8,8,2,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
9,6,5,3,CBAB6,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
10,55,54,31,MF1,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
11,0,0,0,MF1,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
12,6,6,4,MF1,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
13,27,27,18,MF1,Aged,XgYqdel,VIRGIN MALE OR INTERVAL OF 14+ DAYS BETWEEN MATINGS
1,27,27,16,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
2,10,10,5,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
3,16,16,6,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
4,28,28,12,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
5,5,3,2,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
6,20,20,7,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
7,27,27,17,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
8,19,19,10,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
9,0,0,0,CBAB6,Fresh,XgY,MALES RE-MATED AFTER 3 DAYS
1,0,0,0,CBAB6,Aged,XgY,
2,17,17,9,CBAB6,Aged,XgY,
3,14,14,8,CBAB6,Aged,XgY,
4,0,0,0,CBAB6,Aged,XgY,
5,55,55,25,CBAB6,Aged,XgY,
6,28,18,7,CBAB6,Aged,XgY,
7,27,0,0,CBAB6,Aged,XgY,All arrested media prob
8,16,0,0,CBAB6,Aged,XgY,All arrested media prob
9,25,0,0,CBAB6,Aged,XgY,All arrested media prob
10,47,47,22,MF1,Aged,XgY,
11,0,0,0,MF1,Aged,XgY,
12,0,0,0,MF1,Aged,XgY,
13,26,26,6,MF1,Aged,XgY,
