Cage,Date,Cumulus_state,Unfertilized_count,Two_cell_count,Date_blasts_counted,Blastocyst_count,GFP_positive_female,GFP_negative_male
NA,2013-10-11,Cumulus on,62,40,2013-10-14,40,14,26
NA,2013-10-11,decumulated,45,18,2013-10-14,17,7,10
233157,2013-10-12,Cumulus on,84,43,2013-10-15,43,19,24
233157,2013-10-12,decumulated,87,38,2013-10-15,38,10,28
232347,2013-10-18,Cumulus on,74,41,2013-10-21,41,17,24
232347,2013-10-18,decumulated,25,41,2013-10-21,41,21,20
232347,2013-10-19,Cumulus on,16,29,2013-10-22,28,13,15
232347,2013-10-19,decumulated,75,36,2013-10-22,36,19,17
232347,2013-10-25,Cumulus on,47,27,2013-10-28,20,11,9
232347,2013-10-25,decumulated,30,45,2013-10-28,44,25,19
234659,2013-10-26,Cumulus on,41,74,2013-10-29,71,34,37
234659,2013-10-26,decumulated,12,48,2013-10-29,27,29,18
